id,name,birthYear
"nm9436501","Eugeniusz Haczkiewicz","NULL",
"nm9431440","Betty Lynn","NULL",
"nm9439392","Robert Simon","NULL",
"nm9439955","Lilith Ungerer","NULL",
"nm9427450","Rina Morelli","NULL",
"nm9433082","Joseph Kilgour","NULL",
"nm9440739","Wilfred Brambell","NULL",
"nm9428848","Ivan Simpson","1875",
"nm9428942","Vincent Spano","NULL",
"nm9426259","Toni Kalem","NULL",
"nm9424975","Sydney Fairbrother","1873",
"nm9436919","Brigitte Lin ChinHsia","NULL",
"nm9437019","Michelle Nichols","NULL",
"nm9425960","Geoffrey Horne","1926",
"nm9434629","Paul Langton","NULL",
"nm9426040","Martita Hunt","1900",
"nm9424567","Sonny Carl Davis","NULL",
"nm9431452","Judith Malina","NULL",
"nm9428607","Tom Santchi","NULL",
"nm9425387","Sabine Glaser","NULL",
"nm9436510","Mike Gruner","NULL",
"nm9430314","Haskell Wexler","NULL",
"nm9430472","William Bramley","NULL",
"nm9439211","Mary Elizabeth Mastantonio","NULL",
"nm9439879","Rusty Condieff","NULL",
"nm9433964","Christian Bale","NULL",
"nm9423709","Beulah Bondi","1889",
"nm9426407","Alan King","1924",
"nm9424446","Robert Culp","1930",
"nm9424679","William Dewhurst","NULL",
"nm9433975","Larisa Oleynik","NULL",
"nm9425748","Hurd Hatfield","1918",
"nm9433872","Keith Jochim","NULL",
"nm9437300","Warren Oland","NULL",
"nm9430828","Carolyn Lin","NULL",
"nm9439258","Sarah Edwards","NULL",
"nm9429327","J.R. Tozer","NULL",
"nm9441591","Emile LeVisetti","NULL",
"nm9429235","Charlize Theron","NULL",
"nm9438334","Eido Matsuda","NULL",
"nm9432809","Naoah Beery~jr.","NULL",
"nm9430388","Masayuki Mori","NULL",
"nm9436380","Pierre Trabaud","NULL",
"nm9435415","Gunn Wallgren","NULL",
"nm9436221","Mucheline Presle","NULL",
"nm9424858","Alison Eastwood","NULL",
"nm9429900","Rebecca York","NULL",
"nm9441239","Rosalind Chao","NULL",
"nm9424653","Emilie Dequenne ","1971",
"nm9423565","Joan Bennett","1910",
"nm9426111","Gordon Jackson","1923",
"nm9434112","Kathe Burke","NULL",
"nm9437440","Reed Edward Diamond","NULL",
"nm9432523","Bill McCutcheon","NULL",
"nm9435512","Judie Aronson","NULL",
"nm9429512","Karl Michael Vogler","1928",
"nm9433304","Max Born","NULL",
"nm9423531","Marie Bell","1900",
"nm9440198","Sinead Cusick","NULL",
"nm9430112","Tracey Walker","NULL",
"nm9433883","Carolyn Seymor","NULL",
"nm9423537","Kathleen Beller","1955",
"nm9433842","Jeremy Northam","NULL",
"nm9430633","Jewel","NULL",
"nm9434200","Brewster Mason","NULL",
"nm9423427","Ronnie Barker","1929",
"nm9439483","Robert Palmer","NULL",
"nm9423145","William Albert","NULL",
"nm9424832","Mildred Dunnock","1904",
"nm9425299","Marie-Louise Gassen","NULL",
"nm9429329","Lee Tracy","1898",
"nm9440217","Xie Yan","NULL",
"nm9432020","Roalnd Petit","NULL",
"nm9437137","Barbara Dobbins","NULL",
"nm9436843","Penelope Wilton","NULL",
"nm9437941","Ann-Kathrin Kramer","NULL",
"nm9436548","Don Simpson","NULL",
"nm9439381","David Bowe","NULL",
"nm9439529","Jamie Lee Curtus","NULL",
"nm9440269","Miles Chapin","NULL",
"nm9440897","Goerge Devine","NULL",
"nm9434352","George White","NULL",
"nm9436477","Alan Vint","NULL",
"nm9430065","Karl Lukas","NULL",
"nm9438473","Christine Kaufmann","NULL",
"nm9429628","Wylie Watson","1889",
"nm9439122","John Cheung","NULL",
"nm9439186","Cyril Kusack","NULL",
"nm9435102","Mark Gerber","NULL",
"nm9439514","Will Kulva","NULL",
"nm9434689","Tala Birnell","NULL",
"nm9433541","Grant Heslov","NULL",
"nm9425792","Joey Heatherton","1944",
"nm9438229","Mark Dignum","NULL",
"nm9438971","James McEachin","NULL",
"nm9433621","Oscar Werner","NULL",
"nm9436142","Kiri TeKanawa","NULL",
"nm9430763","Nancy Dussault","NULL",
"nm9432758","George Kee Cheung","NULL",
"nm9428374","RinTinTin","1916",
